,Number,Name,Latitude,Longitude,District,Public_,Total_docks,ObjectId,geometry,neighborhood
0,A32040,Honan Library,42.3602737,-71.12852452,Boston,Yes,15,1,POINT (-71.12852452 42.3602737),Allston
1,D32060,Hood Park,42.38004535,-71.07304573,Boston,Yes,23,2,POINT (-71.07304573 42.38004535),Charlestown
2,B32005,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,Boston,Yes,19,3,POINT (-71.08582377 42.34366582),Back Bay
4,C32099,Circuit Drive at American Legion Hwy,42.29704126,-71.09171927,Boston,Yes,19,5,POINT (-71.09171927 42.29704126),Roxbury
6,C32104,Cleary Sq,42.2556,-71.12444,Boston,Yes,16,7,POINT (-71.12444 42.2556),Hyde Park
7,B32035,Cleveland Circle,42.33554308,-71.1506152,Boston,Yes,15,8,POINT (-71.1506152 42.33554308),Brighton
8,D32057,Clinton St at North St,42.36070284,-71.05524927,Boston,Yes,18,9,POINT (-71.05524927 42.36070284),Downtown
9,C32055,Codman Square Library,42.2873611,-71.071111,Boston,Yes,17,10,POINT (-71.071111 42.2873611),Dorchester
10,B32006,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512,-71.10061884,Boston,Yes,14,11,POINT (-71.10061884 42.34011512),Longwood
11,B32029,Columbia Rd at Ceylon St,42.309572,-71.0729,Boston,Yes,15,12,POINT (-71.0729 42.309572),Dorchester
12,C32052,Columbia Rd at Tierney Community Center,42.33023071,-71.05060093,Boston,Yes,19,13,POINT (-71.05060093 42.33023071),South Boston
13,C32077,Columbus Ave at W. Canton St,42.34474225,-71.07648162,Boston,Yes,19,14,POINT (-71.07648162 42.34474225),South End
14,A32002,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,Boston,Yes,15,15,POINT (-71.11903489 42.35169202),Allston
16,D32033,Commonwealth Ave at Chiswick Rd,42.34024645,-71.15168806,Boston,Yes,19,17,POINT (-71.15168806 42.34024645),Brighton
17,A32017,Commonwealth Ave at Griggs St,42.34922469,-71.13275303,Boston,Yes,15,18,POINT (-71.13275303 42.34922469),Allston
18,D32034,Commonwealth Ave at Kelton St,42.34835863,-71.13997217,Boston,Yes,15,19,POINT (-71.13997217 42.34835863),Allston
23,D32009,Congress St at Boston City Hall,42.36041775,-71.05752244,Boston,Yes,23,24,POINT (-71.05752244 42.36041775),Downtown
24,C32032,Congress St at Northern Ave,42.3481,-71.03764,Boston,Yes,15,25,POINT (-71.03764 42.3481),South Boston Waterfront
29,D32005,Copley Square - Dartmouth St at Boylston St,42.34992828,-71.07739207,Boston,Yes,28,30,POINT (-71.07739207 42.34992828),Back Bay
30,D32010,Cross St at Hanover St,42.362811,-71.056067,Boston,Yes,19,31,POINT (-71.056067 42.362811),North End
31,Z32999,Cummins Highway at Blue Hill Ave T Stop,42.26998847,-71.09746183,Boston,Yes,14,32,POINT (-71.09746183 42.26998847),Mattapan
32,E32001,Curtis Hall - South St at Centre St,42.309054,-71.11543,Boston,Yes,15,33,POINT (-71.11543 42.309054),Jamaica Plain
37,D32045,Dartmouth St at Newbury St,42.35096144,-71.07782811,Boston,Yes,19,38,POINT (-71.07782811 42.35096144),Back Bay
39,A32051,Day Sq,42.379295,-71.027733,Boston,Yes,16,40,POINT (-71.027733 42.379295),East Boston
40,B32037,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,Boston,Yes,19,41,POINT (-71.0972821 42.34924377),Fenway
43,C32009,Dorchester Ave at Gillette Park,42.34404051,-71.05737627,Boston,Yes,15,44,POINT (-71.05737627 42.34404051),South Boston
44,C32066,Dorchester Ave at King St,42.291718,-71.062571,Boston,Yes,15,45,POINT (-71.062571 42.291718),Dorchester
45,B32017,Dudley Square - Bolling Building,42.32984299,-71.08386572,Boston,Yes,0,46,POINT (-71.08386572 42.32984299),Roxbury
46,C32015,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,Boston,Yes,15,47,POINT (-71.075354 42.325333),Roxbury
47,A32031,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,Boston,Yes,16,48,POINT (-71.039431 42.369536),East Boston
50,A32022,Edwards Playground - Main St at Eden St,42.378965,-71.068607,Boston,Yes,19,51,POINT (-71.068607 42.378965),Charlestown
52,E32004,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,Boston,Yes,15,53,POINT (-71.098634 42.315692),Jamaica Plain
56,A32000,Fan Pier,42.35339051,-71.0445714,Boston,Yes,15,57,POINT (-71.0445714 42.35339051),South Boston Waterfront
57,C32051,Farragut Rd at E. 6th St,42.3334,-71.02495,Boston,Yes,23,58,POINT (-71.02495 42.3334),South Boston
58,C32041,Fields Corner T Stop,42.29963349,-71.06068976,Boston,Yes,15,59,POINT (-71.06068976 42.29963349),Dorchester
59,B32064,Flat 9 at Whittier,42.33420351,-71.08767617,Boston,Yes,15,60,POINT (-71.08767617 42.33420351),Roxbury
61,E32010,Forest Hills,42.300923,-71.114249,Boston,Yes,40,62,POINT (-71.114249 42.300923),Jamaica Plain
63,B32062,Forsyth St at Huntington Ave,42.339202,-71.090511,Boston,Yes,15,64,POINT (-71.090511 42.339202),Fenway
65,C32037,Four Corners - 157 Washington St,42.30412793,-71.07929528,Boston,Yes,11,66,POINT (-71.07929528 42.30412793),Dorchester
66,C32111,Four Corners/Geneva T Stop,42.30321535,-71.07820988,Boston,Yes,15,67,POINT (-71.07820988 42.30321535),Dorchester
67,C32027,Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225,Boston,Yes,15,68,POINT (-71.092225 42.309796),Roxbury
68,C32030,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,Boston,Yes,14,69,POINT (-71.085347 42.303469),Roxbury
72,C32040,Gallivan Blvd at Adams St,42.28297568,-71.05466698,Boston,Yes,15,73,POINT (-71.05466698 42.28297568),Dorchester
73,C32090,Geiger Gibson Community Health Center,42.31886468,-71.04536798,Boston,Yes,19,74,POINT (-71.04536798 42.31886468),Dorchester
78,A32049,Gove St at Orleans St,42.37057753,-71.0355854,Boston,Yes,19,79,POINT (-71.0355854 42.37057753),East Boston
79,B32032,Government Center - Cambridge St at Court St,42.3598254,-71.05979576,Boston,Yes,35,80,POINT (-71.05979576 42.3598254),Downtown
82,E32005,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,Boston,Yes,23,83,POINT (-71.107341 42.310579),Jamaica Plain
83,B32028,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,Boston,Yes,15,84,POINT (-71.080952 42.30791),Dorchester
89,D32043,Harrison Ave at Bennet St,42.3494261,-71.0620996,Boston,Yes,17,90,POINT (-71.0620996 42.3494261),Chinatown
90,C32093,Harrison Ave at E. Dedham St,42.339194,-71.06975,Boston,Yes,19,91,POINT (-71.06975 42.339194),South End
91,C32057,Harrison Ave at Mullins Way,42.34521562,-71.06384031,Boston,Yes,19,92,POINT (-71.06384031 42.34521562),South End
92,D32035,Harvard Ave at Brainerd Rd,42.34953017,-71.13022771,Boston,Yes,15,93,POINT (-71.13022771 42.34953017),Allston
99,A32052,Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242,Boston,Yes,15,100,POINT (-71.1242 42.368019),Allston
107,B32003,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.33741748,-71.10286117,Boston,Yes,25,108,POINT (-71.10286117 42.33741748),Longwood
111,A32019,175 N Harvard St,42.36447457,-71.12840831,Boston,Yes,17,112,POINT (-71.12840831 42.36447457),Allston
113,C32094,2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003,Boston,Yes,17,114,POINT (-71.095003 42.28887),Mattapan
118,C32106,555 Metropolitan Ave,42.2681,-71.11924,Boston,Yes,18,119,POINT (-71.11924 42.2681),Hyde Park
119,C32105,606 American Legion Hwy at Canterbury St,42.28578,-71.109725,Boston,Yes,18,120,POINT (-71.109725 42.28578),Roslindale
120,C32091,645 Summer St,42.34178089,-71.03987017,Boston,Yes,19,121,POINT (-71.03987017 42.34178089),South Boston Waterfront
123,B32060,700 Commonwealth Ave.,42.34960945,-71.10391524,Boston,Yes,16,124,POINT (-71.10391524 42.34960945),Fenway
128,B32033,Huntington Ave at Mass Art,42.33658555,-71.09886996,Boston,Yes,15,129,POINT (-71.09886996 42.33658555),Longwood
132,C32089,Hyde Park Ave at Walk Hill St,42.29606705,-71.116012,Boston,Yes,15,133,POINT (-71.116012 42.29606705),Jamaica Plain
133,C32061,Albany St at E. Brookline St,42.33664795,-71.0689446,Boston,Yes,15,134,POINT (-71.0689446 42.33664795),South End
134,E32013,Hyde Park Library,42.2568376,-71.122509,Boston,Yes,15,135,POINT (-71.122509 42.2568376),Hyde Park
136,E32003,Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161,Boston,Yes,15,137,POINT (-71.10984161 42.32176526),Jamaica Plain
138,C32020,ID Building East,42.344827,-71.028664,Boston,Yes,17,139,POINT (-71.028664 42.344827),South Boston Waterfront
139,C32079,American Legion Hwy at Cummins Hwy,42.27881158,-71.11687703,Boston,Yes,14,140,POINT (-71.11687703 42.27881158),Roslindale
140,C32021,ID Building West,42.344796,-71.031614,Boston,Yes,19,141,POINT (-71.031614 42.344796),South Boston Waterfront
142,C32025,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,Boston,Yes,25,143,POINT (-71.063187 42.345901),South End
144,A32011,Innovation Lab - 125 Western Ave at Batten Way,42.36371276,-71.12459779,Boston,Yes,19,145,POINT (-71.12459779 42.36371276),Allston
145,E32006,Jackson Square T Stop,42.32293117,-71.10014141,Boston,Yes,18,146,POINT (-71.10014141 42.32293117),Jamaica Plain
146,D32052,Jamaica St at South St,42.30604563,-71.11570891,Boston,Yes,19,147,POINT (-71.11570891 42.30604563),Jamaica Plain
148,C32013,JFK/UMass T Stop,42.32033974,-71.05118036,Boston,Yes,31,149,POINT (-71.05118036 42.32033974),Dorchester
153,B32010,Kenmore Square,42.348706,-71.097009,Boston,Yes,26,154,POINT (-71.097009 42.348706),Fenway
157,B32015,Landmark Center - Brookline Ave at Park Dr,42.34369056,-71.10235287,Boston,Yes,15,158,POINT (-71.10235287 42.34369056),Fenway
159,B32058,Lansdowne T Stop,42.34734473,-71.10016808,Boston,Yes,27,160,POINT (-71.10016808 42.34734473),Fenway
160,D32061,Lenox St at Kendall St,42.33759485,-71.08255059,Boston,Yes,17,161,POINT (-71.08255059 42.33759485),Roxbury
162,A32057,Lewis Mall Wharf,42.36567871,-71.04030132,Boston,Yes,21,163,POINT (-71.04030132 42.36567871),East Boston
163,D32006,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Boston,Yes,19,164,POINT (-71.050877 42.363871),North End
166,A32004,Longwood Ave at Binney St,42.338629,-71.1065,Boston,Yes,15,167,POINT (-71.1065 42.338629),Longwood
169,D32020,Main St at Austin St,42.375603,-71.064608,Boston,Yes,11,170,POINT (-71.064608 42.375603),Charlestown
170,D32036,Main St at Baldwin St,42.380857,-71.070629,Boston,Yes,19,171,POINT (-71.070629 42.380857),Charlestown
172,D32038,Main St at Thompson Sq,42.37487847,-71.06383499,Boston,Yes,15,173,POINT (-71.06383499 42.37487847),Charlestown
177,E32012,Martha Eliot Health Center,42.324173,-71.10196,Boston,Yes,16,178,POINT (-71.10196 42.324173),Jamaica Plain
180,C32063,Mass Ave T Station,42.34135616,-71.08336953,Boston,Yes,14,181,POINT (-71.08336953 42.34135616),Roxbury
182,C32004,Massachusetts Ave at Columbus Ave,42.340835,-71.0816197,Boston,Yes,13,183,POINT (-71.0816197 42.340835),South End
183,C32050,Mattapan Library,42.2773889,-71.09325,Boston,Yes,15,184,POINT (-71.09325 42.2773889),Mattapan
184,C32045,Mattapan T Stop,42.267902,-71.093641,Boston,Yes,15,185,POINT (-71.093641 42.267902),Mattapan
185,A32030,Maverick Square - Lewis Mall,42.36884408,-71.03977829,Boston,Yes,33,186,POINT (-71.03977829 42.36884408),East Boston
186,A32044,Maverick St at Massport Path,42.36774122,-71.03335975,Boston,Yes,15,187,POINT (-71.03335975 42.36774122),East Boston
190,D32037,Medford St at Charlestown BCYF,42.38042947,-71.06055722,Boston,Yes,19,191,POINT (-71.06055722 42.38042947),Charlestown
197,B32023,MLK Blvd at Washington St,42.32143814,-71.09126061,Boston,Yes,15,198,POINT (-71.09126061 42.32143814),Roxbury
199,C32103,Morton St at Gallivan Blvd,42.278747,-71.080286,Boston,Yes,15,200,POINT (-71.080286 42.278747),Mattapan
201,D32017,Mugar Way at Beacon St,42.35553628,-71.0728687,Boston,Yes,19,202,POINT (-71.0728687 42.35553628),Beacon Hill
202,C32023,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,Boston,Yes,19,203,POINT (-71.023739 42.336448),South Boston
204,A32025,Nashua Street at Red Auerbach Way,42.365673,-71.064263,Boston,Yes,36,205,POINT (-71.064263 42.365673),West End
205,B32027,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,Boston,Yes,15,206,POINT (-71.091946 42.316902),Roxbury
206,D32001,New Balance - 20 Guest St,42.35732922,-71.1467354,Boston,Yes,14,207,POINT (-71.1467354 42.35732922),Brighton
207,C32022,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,Boston,Yes,15,208,POINT (-71.066498 42.326599),South Boston
214,D32031,Oak Square - 615 Washington St,42.35057,-71.166491,Boston,Yes,13,215,POINT (-71.166491 42.35057),Brighton
216,B32061,One Beacon St,42.35847764,-71.0613513,Boston,Yes,16,217,POINT (-71.0613513 42.35847764),Downtown
217,B32036,One Brigham Circle,42.3339227,-71.10446509,Boston,Yes,15,218,POINT (-71.10446509 42.3339227),Mission Hill
221,A32035,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,Boston,Yes,19,222,POINT (-71.006098 42.386781),East Boston
224,A32012,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,Boston,Yes,27,225,POINT (-71.123831 42.352261),Allston
225,A32008,Park Dr at Buswell St,42.347241,-71.105301,Boston,Yes,15,226,POINT (-71.105301 42.347241),Fenway
226,D32042,Park Plaza at Charles St S.,42.35182807,-71.06781138,Boston,Yes,19,227,POINT (-71.06781138 42.35182807),Downtown
227,Z32997,Parker St at Huntington Ave,42.33848849,-71.09261138,Boston,Yes,19,228,POINT (-71.09261138 42.33848849),Fenway
